"Name","Commitment","Source Document","Requirement Type","Resource Category","Species Code","Phases","Scope","Construction Activities","Tags"
"BMPs - chemical products","SCA HAZ-1","3600 Alameda Avenue Project FEIR","Monitoring","Hazards and Hazardous Materials","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"BMPs - construction equipment","SCA HAZ-1","3600 Alameda Avenue Project FEIR","Monitoring","Hazards and Hazardous Materials","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"BMPs - contamination","SCA HAZ-1","3600 Alameda Avenue Project FEIR","Monitoring","Hazards and Hazardous Materials","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"BMPs - lead","SCA HAZ-1","3600 Alameda Avenue Project FEIR","Monitoring","Hazards and Hazardous Materials","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"BMPs - groundwater","SCA HAZ-2","3600 Alameda Avenue Project FEIR","Monitoring","Hazards and Hazardous Materials","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"BMPs - soils","SCA HAZ-2","3600 Alameda Avenue Project FEIR","Monitoring","Hazards and Hazardous Materials","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"Environmental site assessment","SCA HAZ-2","3600 Alameda Avenue Project FEIR","Reporting","Hazards and Hazardous Materials","[object Object]","Pre-Construction","Project","[object Object]","Report"
"Hazardous building materials assessment","SCA HAZ-2","3600 Alameda Avenue Project FEIR","Other","Hazards and Hazardous Materials","[object Object]","Pre-Construction","Project","[object Object]","[object Object]"
"Health and safety plan","SCA HAZ-2","3600 Alameda Avenue Project FEIR","Plan","Hazards and Hazardous Materials","[object Object]","Pre-Construction","Project","[object Object]","[object Object]"
"Hazardous materials business plan","SCA HAZ-3","3600 Alameda Avenue Project FEIR","Plan","Hazards and Hazardous Materials","[object Object]","Post-Construction","Project","[object Object]","[object Object]"
"State construction general permit","SCA HYD-1","3600 Alameda Avenue Project FEIR","Approval & Consultation","Hydrology and Water Quality","[object Object]","Pre-Construction","Project","[object Object]","Permit Approval"
"Maintenance agreement","SCA HYD-2","3600 Alameda Avenue Project FEIR","Approval & Consultation","Hazards and Hazardous Materials","[object Object]","Post-Construction","Project","[object Object]","Agreement"
"Post-construction stormwater management plan","SCA HYD-2","3600 Alameda Avenue Project FEIR","Plan","Hazards and Hazardous Materials","[object Object]","Post-Construction","Project","[object Object]","[object Object]"
"Vegetation management after construction","SCA HYD-3","3600 Alameda Avenue Project FEIR","Other","Hydrology and Water Quality","[object Object]","Post-Construction","Project","Vegetation Removal","[object Object]"
"Vegetation management during construction","SCA HYD-3","3600 Alameda Avenue Project FEIR","Other","Hydrology and Water Quality","[object Object]","Construction","Project","Vegetation Removal","[object Object]"
"Vegetation management pre-construction","SCA HYD-3","3600 Alameda Avenue Project FEIR","Other","Hydrology and Water Quality","[object Object]","Pre-Construction","Project","Vegetation Removal","[object Object]"
"Construction BMPs","SCA HYD-4","3600 Alameda Avenue Project FEIR","Monitoring","Hydrology and Water Quality","[object Object]","Construction","Project","[object Object]","Construction & BMP Monitoring"
"Creek landscaping","SCA HYD-4","3600 Alameda Avenue Project FEIR","Plan","Hydrology and Water Quality","[object Object]","Pre-Construction","Project","[object Object]","[object Object]"
